source,product,rating,title,review_text,reviewer,date
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,But oneplus can improve camera quality,...Battery is also good and also charger,Priyanka Surnar,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Pankaj Kumar,Good camera gaming phon,Pankaj Kumar,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Camera 9/10,"...performance is very good. 

My rating will be",Flipkart Customer,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Camera is fabulous �,...October...so my experience is pretty good!!,Samiran Royy,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,"t 
Camera is wow","...very good 😊👍🏻 
Parformance is excellen",Utpal Seni,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Flipkart Customer,Camera is not good as expected.,Flipkart Customer,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Sajin Jaison,"...Everything works great for daily use, though the camera is just average....",Sajin Jaison,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Only perfomance phone,"battery 4 star
High working usage battery...",Sagar Pankhania,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Good Battery and Camera is cool.,...Rest very smooth and nice One Plus UI.,Hari Shankar,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Camera performance poor,"Average product. 
Low battery optimisation",JEGAN M,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,...opinion about this device is very good 👍,Battery is good normal use 1 day backup an...,Subhranil  Maity,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Battery is good and camera is good.,...Using for past month no issues until now.,Prem Kumar,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Flipkart Customer,"I love this product ,, especially camera and battery 🔋 ,,  oneplus nord 5 🫶🫶🫶🫶 just aw...",Flipkart Customer,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Flipkart Customer,"Worth for the price,need to improve camera,, rest all are excellent....",Flipkart Customer,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Ashok Singh,"Very nice phone and camera, battery very wonderful must buy.",Ashok Singh,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,", Goalpara",According to the price the mobile is the best because it lasts the whole day's charge and the quality of the camera is unbelievable,Samidur,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,", Bikaner",Mind blowing gaming battery charging camera,Dhns Nsh,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Sandhya Sandhya,"Best performance camera,battery design all r good �",Sandhya Sandhya,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,"camera, display, design, performance",...lovers... which have at best quality viz.,Biki Das,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Amazing mobile phone in the range below 30K.,"Camera, display, performance and battery is awesome 😎",ALOK  KUMAR,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,", Jagtial",...Except resolution nits the rest of the features are up to the mark....,Amaan,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Worth it.,"Awesome phone ,with lot of features including AI.",Kusumuddin Shiekh,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (12 GB RAM)",,Ashok Chaudhary,"...In short, it's a great device that focuses on usability and performance rather than professional-level photography.",Ashok Chaudhary,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Flipkart Customer,Battery and performance is bad only camera is good �,Flipkart Customer,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Apurba  Maity,Very good camera quality,Apurba  Maity,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Pabitra Kumar Sircar,".... This phone is strongly not for gamers or photography enthusiasts, low light photo is not good, selfie camera 20 mp which I think pure B...",Pabitra Kumar Sircar,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Tulsi Ram  Ahirwar,Nice mobile and camera quality is good,Tulsi Ram  Ahirwar,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,"... Camera, battery and the whole system.",I recommend to my friend and he also order...,BASHIR MOHAMED,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Camera- decent,Battery- easily pass 1 day with single charge...,Flipkart Customer,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Nice Design. Excellent.,Camera quality is good.,Neeraj Kumar,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Om Ramesh Desai,Camera is normal - good pictures in daylight but bad in low light....,Om Ramesh Desai,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Amit Sharma,I bought this phone for its camera features only but disappointed as the camera performance was not as ex,Amit Sharma,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,"...smooth, performance good as per 6gb ram.",Camera quality is also good with resolution.,Anurag Mahajan,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Rohit Pathak,See the camera quality of this phone,Rohit Pathak,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,"...range, very light weight, good performance.",but charger and protective case is not included...,Vidhayak Jee,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,ADITYA SRIVASTVA,THE CAMERA IS VERY LAGY AND OVERALL PHONE IS GOOD,ADITYA SRIVASTVA,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,KRISHNA  YADAV,Best phone of the excellent camera quality,KRISHNA  YADAV,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Very laggy phone.,The camera also very slow.,I K Mithun,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Battery backup is terrible.,The camera is above average.,KRUPA MALLICK,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Mini Agrawal,Camera quality very good,Mini Agrawal,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Very poor quality camera and proceser,...recommended to buy this phone to any one..,Dibyajit BARIK,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Very good product.,But charger or soft case not included.,Tapasi  Pal,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Vivek Babu,"Camera quality is best but camera 📸 is HANGING
😏😏😏�",Vivek Babu,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Sudip Dey kundu,Camera quality not good,Sudip Dey kundu,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Camera is not Good.,No Charger adopter in box only cable,Kabir  Choudhary,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Flipkart Customer,Too much good phone camera is fabulous �,Flipkart Customer,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Don't buy this phone no better camera.,No sound quality. Mobile heating isse. I...,Ahil Sharma,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Salendra  Godara,Good phone📱sony camera quality goo,Salendra  Godara,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Camera was too good in.,"This budget and deisgn is ok ok but , in...",Mohuya Choudhuri,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Jahid Ansari,Best profarmnce best camera 🤳,Jahid Ansari,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Display 5/5,Battery 3/5 fast drain if resolve can after...,Flipkart Customer,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,poor camera.,Not worthy for that price..,Prashanth Mitta,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Mohammed  Mateen,Nice feature is a camera good clarity,Mohammed  Mateen,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Camera was very good,Battery backup is nice gave 9-10 hour easily...,Gaurav,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Disappointed with the camera,And it's all over look is okay �...,Piyali Phadikar,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,remiz bashir,...From the first day of usage the camera is showing issues till date after couple of updates camera is at its worst stage,remiz bashir,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Grt product,"Display osm
Charging cable missing",mukesh  singh,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,"Good mobile, but costly..",Kindly request improve camera quality!,sukumar  c,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Ravi Kumar,Front and back camera,Ravi Kumar,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Flipkart Customer,Camera quality and display quality bad camera is not good don't buy this phone,Flipkart Customer,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Bhaskar  Banerjee,...If you want abetter selfie camera than this go for vivo TX ...,Bhaskar  Banerjee,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Sivaram Sakthi,Overall Good But Camera Was Laging �,Sivaram Sakthi,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,"Battery backup is good
Display is amoled...",Camera is not tuat good and its normal with mi,Vishw Jeet,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Camera not good in evening.,"Phone lagging....

Not for gaming",Zaffar Mohammed,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Camera is too bad,", Samastipur District",Durgesh kumar,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,", Hyderabad",Front camera is very poor,Shan Sd,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Selfie camera not better,AMARNATH KUMAR  A R KUMAR,", Lonavala",
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Very disappointed with the battery life .,And haven't expected such catastrophic experience...,Sandeep Ks,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Night camera decent,", Basudebpur Purba Medinipur District",Sahadev Maity,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Shasi Rai,"Charger not found,camera quality Average",Shasi Rai,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Sudar Vannan,I bought after 10 days both cameras are Not working properly it's working only blur condition.,Sudar Vannan,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,JAVED  Ahmad,"...This fone lags alot, camera is not good, many times get hanged and needed to restart 
...",JAVED  Ahmad,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,"two problem in Mobile hanging,and network...",I used it 3 months Front and rear camera both are good.,Flipkart Customer,
